Name,Wiki page type,Common Steal,Rare Steal,Common Drop,Rare Drop
Wing Raptor (normal form - boss),3,Potion,Potion,Phoenix Down,Phoenix Down
Wing Raptor (closed form - boss),3,Potion,Potion,Phoenix Down,Phoenix Down
Karlabos (boss),2,Potion,Potion,Tent,Tent
Siren (normal form - boss),2,,,Bronze Armor,Bronze Armor
Siren (undead form - boss),2,,,Bronze Shield,Bronze Shield
Magissa (boss),3,,,Whip,Whip
Forza (boss),3,,,Power Drink,Power Drink
Ice Commander (boss),2,Mythril Sword,Mythril Sword,,Long Sword
Shiva (boss),1,Hi-Potion,Phoenix Down,Frost Rod,Frost Rod
Garula (boss),2,Potion,Hi-Potion,Hi-Potion,Hi-Potion
Liquid Flame (human form - boss),2,,,Fire Scroll,Fire Scroll
Liquid Flame (hand form - boss),2,,,Flame Rod,Flame Rod
Liquid Flame (tornado form - boss),2,,,Flame Bow,Flame Bow
Iron Claw (boss),2,Hero Cocktail,Hero Cocktail,,Silver Specs
Ifrit (boss),1,Phoenix Down,Phoenix Down,Fire Scroll,Fire Scroll
Byblos (boss),2,Mallet,Dark Matter,Iron Draft,Iron Draft
Ramuh (boss),1,Hi-Potion,Hi-Potion,Ramuh,Ramuh
Sandworm (boss),2,,,,
Hole (boss),4,,,,
Cray Claw (boss),2,Coral Sword,Coral Sword,Frost Bow,Frost Bow
Adamantoise (boss),2,Iron Draft,Iron Draft,Turtle Shell,Turtle Shell
Flame Thrower (boss),1,Potion,Ether,Speed Shake,Speed Shake
Rocket Launcher (boss),2,Potion,Ether,Iron Draft,Iron Draft
Soul Cannon (boss),3,Ether,Elixir,Dark Matter,Dark Matter
Launcher (boss #260),4,Ether,Ether,Hi-Potion,Hi-Potion
Launcher (boss #261),4,Ether,Ether,Hi-Potion,Hi-Potion
Archeoaevis (wind form - boss),2,,,Goliath Tonic,Goliath Tonic
Archeoaevis (ice form - boss),2,,,Power Drink,Power Drink
Archeoaevis (fire form - boss),2,,,Speed Shake,Speed Shake
Archeoaevis (lightning form - boss),2,,,Iron Draft,Iron Draft
Archeoaevis (revived form - boss),2,,,Hero Cocktail,Hero Cocktail
Purobolos (boss),2,,Eye Drops,,Potion
Titan (boss),1,Potion,Gaia Hammer,Hi-Potion,Hi-Potion
Chimera Brain (boss),2,Dragon Fang,Wind Spear,Phoenix Down,Phoenix Down
